q_num,q_id,subject,correct_answer,is_comprehension,paper_id,date,year,month,day,shift,question_img_path,option1_path,option2_path,option3_path,option4_path
1,715053766,CDP,3,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q001_715053766/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q001_715053766/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q001_715053766/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q001_715053766/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q001_715053766/option4.png
2,715053767,CDP,1,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q002_715053767/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q002_715053767/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q002_715053767/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q002_715053767/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q002_715053767/option4.png
3,715053768,CDP,4,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q003_715053768/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q003_715053768/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q003_715053768/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q003_715053768/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q003_715053768/option4.png
4,715053769,CDP,2,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q004_715053769/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q004_715053769/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q004_715053769/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q004_715053769/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q004_715053769/option4.png
5,715053770,CDP,3,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q005_715053770/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q005_715053770/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q005_715053770/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q005_715053770/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q005_715053770/option4.png
6,715053771,CDP,2,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q006_715053771/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q006_715053771/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q006_715053771/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q006_715053771/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q006_715053771/option4.png
7,715053772,CDP,1,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q007_715053772/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q007_715053772/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q007_715053772/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q007_715053772/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q007_715053772/option4.png
8,715053773,CDP,4,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q008_715053773/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q008_715053773/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q008_715053773/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q008_715053773/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q008_715053773/option4.png
9,715053774,CDP,4,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q009_715053774/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q009_715053774/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q009_715053774/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q009_715053774/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q009_715053774/option4.png
10,715053775,CDP,3,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q010_715053775/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q010_715053775/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q010_715053775/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q010_715053775/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q010_715053775/option4.png
